EntityId,IsOfficial,isProjection,ShortName,Title,PublicationYear,Year,Technology,TechnologySubtype,PublicationUrl,Author,VariableOMDolPerMwh,FixedOMDolPerKw,lcoe,Fuel,AvgCapacityFactor,MinCapacityFactor,MaxCapacityFactor,OnghtCptlCostDolPerKw,HeatRate,LifetimeYears,AvailabilityFactor,PvMaterial,PvAxis,CspStorageHours,CspCoolingSystem,MktTypeComResUtility,ResourceQuality1,ResourceQuality2,CapacityMw,InstalledCapacityMW,PvCurrentAcOrDc,ContingencyFactor,OnghCptCstDlKwInclCtng,LearningFactor,TechnologyOptimism,MetalsMetalProductsPpi,OMAllInclusive,Leadtimeyears,ThermalEfficiency,StorageEfficiency,Co2MetricTonsPerMwh,DtstTypMdlMktEngnrgPgm,DolYear,LaborCostsAssumptions,TypeOfIncentivesIncld,DataType,VariableOMDolPerMwhNote,PvMaterialNote,GeneralCapacityFactorNote,DataVintageYearNote,PublicationNotes,OnghCptCstDlKwInclCtngNote,FuelNote,GeneralOMNote,HeatRateNote,GeneralCostsNote,GeneralHeatRateEffNote,TechnologyNote,GeneralNote,AvgCapacityFactorNote,OnghtCptlCostDolPerKwNote,Scenario
,Official Program Number,,,Dataset_name,Data_publication_year,Year,Technology,Technology_Subtype,Dataset_web_source,Report_Author,Variable_O_M_dollar_per_MWh,Fixed_O_M_dollar_per_kW,LCOE_7%_Discount_Rate_39.2%_Tax_Rate,Fuel,Avg_Capacity_Factor,Min_Capacity_Factor,Max_Capacity_Factor,Overnight_Capital_Cost_dollar_per_kW,Heat_Rate,Lifetime_Years,Availability_Factor,PV_material,PV_axis,CSP_storage_hours,CSP_cooling_system,Market_type,Resource_Quality_1,Resource_Quality_2,Capacity_MW,Installed_Capacity_MW,PV_Current_AC_or_DC,Contingency_Factor,Overnight_Capital_Cost_dollar_per_kW_including_Contingency,Learning_Factor,Technology_Optimism,Metals_Metal_Products_PPI,O_M_All-Inclusive,Leadtime_years,Thermal_Efficiency,Storage_Efficiency,CO2_Metric_Tons_Per_MWh,Dataset_type2,Dollar_Year,Labor_costs_assumptions,Type_of_incentives_included,Data_Type,,,,,,,,,,,,,,,,Scenario
Unique Identifier for the record,Indicates if row is program estimate. 1 indicates is program estimate.,,Short name for publication that is displayed in the publication filter,Name of study,Year the study was published,Year the estimate applies to,Type of technology,Technology subtype,Web source of study,Author(s) of the report,Variable operating and maintenance costs dollars per megawatts,Fixed operating and maintenance costs dollar per kilowatts,Calculated Levelized Cost Of Energy value,Fuel type,Average capacity factor,Mininum capactiy factor,Maximum capacity factor,Overnight capital cost dollar per kilowatt,Heat rate,Asset life,Percentage of time capacity is available e.g. not unavailable due to planned or unplanned outtages,Type of photovoltaic material,"PV axis - Fixed, 1 axis or 2 axis",CSP - number of hours of storage at full capacity,Wet block or Dry block,"Indicates Market type.  eg. commercial, residential, utility",Resource quality for renewable energy - describes wind and solar by class,Secondary resource characterization. Currently used only for onshore and offshore wind,Capacity in megawatts,Installed capacity in megawatts,Photovoltaic current is either AC or DC,Multiplication factor to original overnight capital cost allow for contingency,Overnight capital cost dollar per kilowatt including contingency,Reduction in capital due to learning - will generally be less than 1.0,,Metals index,All inclusive operating and maintenance costs.,Number of years required to build - check if includes planning,Thermal efficiency,Storage efficiency,how much CO2 generated  in metric tons per megawatt hours,"Dataset type.  Values: Engineering, Field Data, Market Analysis, Model, Program",Year in which dollar price is given,Assumptions for laber costs,Type of incentives included,Data type,Notes for Variable OM field,Notes for PV Materials field,Notes for Capacity Factor fields,Notes for Data Vintage Year field,Notes on the publication,Notes on the publication,Notes for Overnight Capital Cost field,Notes for Fuel field,Notes for all OM (Operating and maintenance) fields,Notes for Heat Rate field,Notes for cost fields,Notes for efficiency fields,Notes for technology field,Notes about the study,Notes for overnight capital cost field,
21177,0,1,EPA 2010,"Environmental Protection Agency (2010). Data from Integrated Power Model (IPM), ICF International.",2010,2026,Biopower,Biogas,http://www.epa.gov/airmarkt/progsregs/epa-ipm/BaseCasev410.html,EPA,0.01,114.3,0.0854901,Biomass,,,,,13648,,,,,,,,,,30,,,,3156,,,,,,,,,Model,2007,,,Received Data,,,,,,,,,,,,,,,,
21178,0,1,EPA 2010,"Environmental Protection Agency (2010). Data from Integrated Power Model (IPM), ICF International.",2010,2027,Biopower,Biogas,http://www.epa.gov/airmarkt/progsregs/epa-ipm/BaseCasev410.html,EPA,0.01,114.3,0.0854901,Biomass,,,,,13648,,,,,,,,,,30,,,,3156,,,,,,,,,Model,2007,,,Received Data,,,,,,,,,,,,,,,,
21179,0,1,EPA 2010,"Environmental Protection Agency (2010). Data from Integrated Power Model (IPM), ICF International.",2010,2028,Biopower,Biogas,http://www.epa.gov/airmarkt/progsregs/epa-ipm/BaseCasev410.html,EPA,0.01,114.3,0.0854901,Biomass,,,,,13648,,,,,,,,,,30,,,,3156,,,,,,,,,Model,2007,,,Received Data,,,,,,,,,,,,,,,,
21180,0,1,EPA 2010,"Environmental Protection Agency (2010). Data from Integrated Power Model (IPM), ICF International.",2010,2029,Biopower,Biogas,http://www.epa.gov/airmarkt/progsregs/epa-ipm/BaseCasev410.html,EPA,0.01,114.3,0.0854901,Biomass,,,,,13648,,,,,,,,,,30,,,,3156,,,,,,,,,Model,2007,,,Received Data,,,,,,,,,,,,,,,,
21181,0,1,EPA 2010,"Environmental Protection Agency (2010). Data from Integrated Power Model (IPM), ICF International.",2010,2030,Biopower,Biogas,http://www.epa.gov/airmarkt/progsregs/epa-ipm/BaseCasev410.html,EPA,0.01,114.3,0.0779703,Biomass,,,,,13648,,,,,,,,,,30,,,,2544,,,,,,,,,Model,2007,,,Received Data,,,,,,,,,,,,,,,,
21182,0,1,EPA 2010,"Environmental Protection Agency (2010). Data from Integrated Power Model (IPM), ICF International.",2010,2031,Biopower,Biogas,http://www.epa.gov/airmarkt/progsregs/epa-ipm/BaseCasev410.html,EPA,0.01,114.3,0.0779703,Biomass,,,,,13648,,,,,,,,,,30,,,,2544,,,,,,,,,Model,2007,,,Received Data,,,,,,,,,,,,,,,,
21183,0,1,EPA 2010,"Environmental Protection Agency (2010). Data from Integrated Power Model (IPM), ICF International.",2010,2032,Biopower,Biogas,http://www.epa.gov/airmarkt/progsregs/epa-ipm/BaseCasev410.html,EPA,0.01,114.3,0.0779703,Biomass,,,,,13648,,,,,,,,,,30,,,,2544,,,,,,,,,Model,2007,,,Received Data,,,,,,,,,,,,,,,,
21184,0,1,EPA 2010,"Environmental Protection Agency (2010). Data from Integrated Power Model (IPM), ICF International.",2010,2033,Biopower,Biogas,http://www.epa.gov/airmarkt/progsregs/epa-ipm/BaseCasev410.html,EPA,0.01,114.3,0.0779703,Biomass,,,,,13648,,,,,,,,,,30,,,,2544,,,,,,,,,Model,2007,,,Received Data,,,,,,,,,,,,,,,,
21185,0,1,EPA 2010,"Environmental Protection Agency (2010). Data from Integrated Power Model (IPM), ICF International.",2010,2034,Biopower,Biogas,http://www.epa.gov/airmarkt/progsregs/epa-ipm/BaseCasev410.html,EPA,0.01,114.3,0.0779703,Biomass,,,,,13648,,,,,,,,,,30,,,,2544,,,,,,,,,Model,2007,,,Received Data,,,,,,,,,,,,,,,,
21186,0,1,EPA 2010,"Environmental Protection Agency (2010). Data from Integrated Power Model (IPM), ICF International.",2010,2035,Biopower,Biogas,http://www.epa.gov/airmarkt/progsregs/epa-ipm/BaseCasev410.html,EPA,0.01,114.3,0.0779703,Biomass,,,,,13648,,,,,,,,,,30,,,,2544,,,,,,,,,Model,2007,,,Received Data,,,,,,,,,,,,,,,,
21187,0,1,EPA 2010,"Environmental Protection Agency (2010). Data from Integrated Power Model (IPM), ICF International.",2010,2036,Biopower,Biogas,http://www.epa.gov/airmarkt/progsregs/epa-ipm/BaseCasev410.html,EPA,0.01,114.3,0.0779703,Biomass,,,,,13648,,,,,,,,,,30,,,,2544,,,,,,,,,Model,2007,,,Received Data,,,,,,,,,,,,,,,,
21188,0,1,EPA 2010,"Environmental Protection Agency (2010). Data from Integrated Power Model (IPM), ICF International.",2010,2037,Biopower,Biogas,http://www.epa.gov/airmarkt/progsregs/epa-ipm/BaseCasev410.html,EPA,0.01,114.3,0.0779703,Biomass,,,,,13648,,,,,,,,,,30,,,,2544,,,,,,,,,Model,2007,,,Received Data,,,,,,,,,,,,,,,,
